TestCaseID,Module,FlowFile,App,ExcelID,Description
PR_43,printing,printing/PR_43 - Verify FitFill Lock.yaml,com.hp.impulse.sprocket,Print Preview Screen 43,Verify Fit/Fill Lock
PR_44,printing,printing/PR_44 - Verify Save to Gallery option.yaml,com.hp.impulse.sprocket,Print Preview Screen 44,Verify Save to Gallery option
PR_45,printing,printing/PR_45 - Verify Do Not Save and X options.yaml,com.hp.impulse.sprocket,Print Preview Screen 45,Verify Do Not Save and X options
PR_46,printing,printing/PR_46 - Trigger Warning for Low-Resolution Native Images.yaml,com.hp.impulse.sprocket,Print Preview Screen 46,Trigger Warning for Low-Resolution Native Images
PR_47,printing,printing/PR_47 - Trigger Warning for Low-Resolution Social Media Images.yaml,com.hp.impulse.sprocket,Print Preview Screen 47,Trigger Warning for Low-Resolution Social Media Images
PR_48,printing,printing/PR_48 - Dismissal via Close Icon Interaction.yaml,com.hp.impulse.sprocket,Print Preview Screen 48,Dismissal via Close Icon Interaction
PR_49,printing,printing/PR_49 - Layout and Icon Asset Validation.yaml,com.hp.impulse.sprocket,Print Preview Screen 49,Layout and Icon Asset Validation
PR_50,printing,printing/PR_50 - Intercept Print Action During Active Firmware Update.yaml,com.hp.impulse.sprocket,Print Preview Screen 50,Intercept Print Action During Active Firmware Update
PR_51,printing,printing/PR_51 - Dismiss Popup via OK Button.yaml,com.hp.impulse.sprocket,Print Preview Screen 51,Dismiss Popup via OK Button
PR_52,printing,printing/PR_52 - Dismiss Popup via Close Icon.yaml,com.hp.impulse.sprocket,Print Preview Screen 52,Dismiss Popup via Close Icon
PR_53,printing,printing/PR_53 - Verify layout controls for Studio Studio Plus printer.yaml,com.hp.impulse.sprocket,Print Preview Screen 53,Verify layout controls for Studio / Studio Plus printer
PR_54,printing,printing/PR_54 - Verify Tiles option is unavailable for Studio Studio Plus pr.yaml,com.hp.impulse.sprocket,Print Preview Screen 54,Verify Tiles option is unavailable for Studio / Studio Plus printer
PR_55,printing,printing/PR_55 - Verify responsive scaling 375times667.yaml,com.hp.impulse.sprocket,Print Preview Screen 55,Verify responsive scaling ($375\times667$)
PR_56,printing,printing/PR_56 - Verify 2times3 and 4times6 layout.yaml,com.hp.impulse.sprocket,Print Preview Screen 56,"Verify $2\times3""$ and $4\times6""$ layout"
PR_57,printing,printing/PR_57 - Verify 23times34 and 35times425 layout.yaml,com.hp.impulse.sprocket,Print Preview Screen 57,"Verify $2.3\times3.4""$ and $3.5\times4.25""$ layout"
PR_58,printing,printing/PR_58 - Verify PreCut Sticker restriction.yaml,com.hp.impulse.sprocket,Print Preview Screen 58,Verify PreCut Sticker restriction
PR_59,printing,printing/PR_59 - Verify UI control presence.yaml,com.hp.impulse.sprocket,Print Preview Screen 59,Verify UI control presence
PR_60,printing,printing/PR_60 - Verify AI button absence.yaml,com.hp.impulse.sprocket,Print Preview Screen 60,Verify AI button absence
PR_61,printing,printing/PR_61 - First-Time Session Tip Appearance.yaml,com.hp.impulse.sprocket,Print Preview Screen 61,First-Time Session Tip Appearance
PR_62,printing,printing/PR_62 - Auto-Fade Duration Validation.yaml,com.hp.impulse.sprocket,Print Preview Screen 62,Auto-Fade Duration Validation
PR_63,printing,printing/PR_63 - Session Repetition Restriction Check.yaml,com.hp.impulse.sprocket,Print Preview Screen 63,Session Repetition Restriction Check
PR_64,printing,printing/PR_64 - Priority Handling with System Toast Messages.yaml,com.hp.impulse.sprocket,Print Preview Screen 64,Priority Handling with System Toast Messages
PR_65,printing,printing/PR_65 - Verification of Landscape Photo Automatic 90-Degree Rotation.yaml,com.hp.impulse.sprocket,Print Preview Screen 65,Verification of Landscape Photo Automatic 90-Degree Rotation and SDK Preservation
PR_66,printing,printing/PR_66 - Canvas Animation and Multi-Photo Queue Sequencing.yaml,com.hp.impulse.sprocket,Print Preview Screen 66,Canvas Animation and Multi-Photo Queue Sequencing
PR_67,printing,printing/PR_67 - Tile Grid Printing Queue Progression.yaml,com.hp.impulse.sprocket,Print Preview Screen 67,Tile Grid Printing Queue Progression
PR_68,printing,printing/PR_68 - Error Handling During Multi-Photo Print Transitions.yaml,com.hp.impulse.sprocket,Print Preview Screen 68,Error Handling During Multi-Photo Print Transitions
PR_69,printing,printing/PR_69 - Completion Screen UI Animation and Tips Transition.yaml,com.hp.impulse.sprocket,Print Preview Screen 69,Completion Screen UI Animation and Tips Transition
PR_70,printing,printing/PR_70 - Sequential Tips Tricks Slide Transition Behavior.yaml,com.hp.impulse.sprocket,Print Preview Screen 70,Sequential Tips & Tricks Slide Transition Behavior
PR_71,printing,printing/PR_71 - Verify Printer Status Label Updates in Print State.yaml,com.hp.impulse.sprocket,Print Preview Screen 71,Verify Printer Status Label Updates in Print State
PR_72,printing,printing/PR_72 - Verify Queue Skipping for Multiple Copies.yaml,com.hp.impulse.sprocket,Print Preview Screen 72,Verify Queue Skipping for Multiple Copies
PR_73,printing,printing/PR_73 - Verify In Queue Paused for New Job in Paused Queue.yaml,com.hp.impulse.sprocket,Print Preview Screen 73,Verify In Queue (Paused) for New Job in Paused Queue
PR_74,printing,printing/PR_74 - Verify In Queue Paused During Multi-Copy Pause Scenario.yaml,com.hp.impulse.sprocket,Print Preview Screen 74,Verify In Queue (Paused) During Multi-Copy Pause Scenario
PR_75,printing,printing/PR_75 - Verify Print State Does Not Show Invalid or Conflicting Stat.yaml,com.hp.impulse.sprocket,Print Preview Screen 75,Verify Print State Does Not Show Invalid or Conflicting Status
